2020/10/14 08:53:42 [emerg] 9752#14372: CreateDirectory() "C:\Repository\My-notes\Nginx/temp/client_body_temp" failed (3: The system cannot find the path specified)
2020/10/14 08:55:26 [error] 2584#1316: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /Api/note HTTP/1.1", upstream: "https://[::1]:44338/Api/note", host: "localhost"
2020/10/14 08:55:28 [error] 2584#1316: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /Api/note HTTP/1.1", upstream: "https://127.0.0.1:44338/Api/note", host: "localhost"
2020/10/14 08:55:30 [error] 2584#1316: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "http://[::1]:4200/favicon.ico", host: "localhost", referrer: "http://localhost/Api/note"
2020/10/14 08:55:32 [error] 2584#1316: *1 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:4200/favicon.ico", host: "localhost", referrer: "http://localhost/Api/note"
2020/10/14 08:55:33 [error] 2584#1316: *1 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /Api/note/1 HTTP/1.1", upstream: "https://localhost/Api/note/1", host: "localhost"
2020/10/14 08:55:33 [error] 2584#1316: *1 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "http://localhost/favicon.ico", host: "localhost", referrer: "http://localhost/Api/note/1"
2020/10/14 08:58:44 [error] 2584#1316: *9 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:4200/", host: "localhost"
2020/10/14 08:58:46 [error] 2584#1316: *9 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://[::1]:4200/", host: "localhost"
2020/10/14 08:58:46 [error] 2584#1316: *9 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "http://localhost/favicon.ico", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:00:02 [error] 2584#1316: *14 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /runtime.js HTTP/1.1", upstream: "http://[::1]:4200/runtime.js", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:00:41 [error] 2584#1316: *49 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /Api/Note/ HTTP/1.1", upstream: "https://[::1]:44338/Api/Note/", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:00:41 [error] 2584#1316: *14 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /Api/Note/ HTTP/1.1", upstream: "https://127.0.0.1:44338/Api/Note/", host: "localhost", referrer: "http://localhost/"
